Date,User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Calculated_Calories
2024-04-18,128,Chicken Breast,Meat,165,31.0,0.0,3.6,0.0,28.8,764,103,Dinner,257,526.6
2024-10-21,436,Banana,Fruits,89,1.1,23.0,0.3,2.6,40.0,675,268,Breakfast,831,583.4
2024-04-05,164,Coffee,Beverages,0,0.1,0.0,0.0,0.0,32.7,569,176,Lunch,269,740.7
2024-12-31,228,Chicken Breast,Meat,165,31.0,0.0,3.6,0.0,35.3,561,116,Snack,859,551.1
2024-09-07,438,Orange,Fruits,47,0.9,12.0,0.1,2.4,49.3,973,67,Dinner,845,618.7
2024-01-30,893,Eggs,Meat,143,13.0,0.7,10.0,0.0,15.9,247,11,Dinner,522,556.3
2024-07-03,644,Broccoli,Vegetables,34,2.8,7.0,0.4,2.6,22.0,360,61,Breakfast,727,682.3
2024-09-07,186,Butter,Dairy,717,0.1,0.1,81.0,0.0,42.9,39,18,Dinner,818,484.59999999999997
2024-03-26,388,Coffee,Beverages,0,0.1,0.0,0.0,0.0,4.8,168,142,Dinner,202,720.1
2024-11-25,521,Apple,Fruits,52,0.3,14.0,0.2,2.4,4.8,38,147,Dinner,750,505.70000000000005
2024-08-12,357,Strawberry,Fruits,32,0.7,8.0,0.3,2.0,18.6,355,233,Snack,510,299.09999999999997
2024-11-10,81,Grapes,Fruits,69,0.7,18.0,0.2,0.9,17.0,552,30,Breakfast,937,740.0
2024-05-19,604,Pork Chop,Meat,242,27.0,0.0,14.0,0.0,17.1,213,122,Lunch,971,608.7
2024-05-02,730,Cheese,Dairy,402,25.0,0.4,33.0,0.0,12.7,88,35,Dinner,736,700.0
2024-01-11,964,Spinach,Vegetables,23,2.9,3.6,0.4,2.2,29.4,198,81,Lunch,332,323.4
2024-02-05,819,Pasta,Grains,131,5.0,25.0,0.5,1.2,23.2,570,235,Lunch,265,570.3
2024-08-06,151,Cookies,Snacks,502,6.0,65.0,24.0,2.3,28.2,527,166,Lunch,655,617.3
2024-12-11,727,Carrot,Vegetables,41,0.9,10.0,0.2,2.8,20.8,612,227,Snack,828,659.1
2024-09-28,746,Butter,Dairy,717,0.1,0.1,81.0,0.0,1.7,369,85,Lunch,143,167.4
2024-07-03,686,Orange,Fruits,47,0.9,12.0,0.1,2.4,9.5,159,131,Snack,653,680.3000000000001
2024-07-29,4,Orange,Fruits,47,0.9,12.0,0.1,2.4,1.5,85,185,Lunch,899,568.9
2024-05-16,696,Potato,Vegetables,77,2.0,17.0,0.1,2.2,38.4,934,62,Snack,569,695.3999999999999
2024-12-27,590,Chicken Breast,Meat,165,31.0,0.0,3.6,0.0,11.1,935,75,Lunch,320,259.5
2024-04-11,246,Oats,Grains,389,17.0,66.0,7.0,10.0,18.0,976,140,Snack,487,755.4000000000001
2024-04-12,447,Orange Juice,Beverages,45,0.7,10.0,0.2,0.2,27.4,816,8,Dinner,179,319.2
2024-05-02,330,Coffee,Beverages,0,0.1,0.0,0.0,0.0,45.4,343,72,Dinner,323,539.5
2024-10-31,791,Cookies,Snacks,502,6.0,65.0,24.0,2.3,17.2,174,211,Snack,130,594.7
2024-05-24,188,Strawberry,Fruits,32,0.7,8.0,0.3,2.0,45.6,950,297,Lunch,593,395.0
2024-03-05,292,Pasta,Grains,131,5.0,25.0,0.5,1.2,31.0,865,144,Snack,912,488.19999999999993
2024-12-13,633,Butter,Dairy,717,0.1,0.1,81.0,0.0,39.5,311,115,Lunch,734,838.7
2024-04-15,456,Banana,Fruits,89,1.1,23.0,0.3,2.6,39.8,107,250,Lunch,709,213.10000000000002
2024-12-02,516,Water,Beverages,0,0.0,0.0,0.0,0.0,33.0,98,86,Snack,234,484.8
2024-08-27,634,Orange,Fruits,47,0.9,12.0,0.1,2.4,40.3,208,176,Breakfast,955,493.30000000000007
2024-10-15,248,Milkshake,Beverages,112,3.4,18.0,3.0,0.0,8.5,530,293,Lunch,306,650.7
2024-12-16,941,Grapes,Fruits,69,0.7,18.0,0.2,0.9,34.9,107,288,Dinner,639,650.7
2024-09-26,502,Potato,Vegetables,77,2.0,17.0,0.1,2.2,30.7,597,99,Dinner,122,447.9
2024-09-17,462,Green Tea,Beverages,0,0.0,0.0,0.0,0.0,36.4,201,145,Lunch,101,298.8
2024-11-21,58,Nuts,Snacks,607,20.0,21.0,54.0,7.0,28.1,530,18,Dinner,853,315.5
2024-10-28,59,Milkshake,Beverages,112,3.4,18.0,3.0,0.0,42.6,469,230,Dinner,935,591.8
2024-11-14,635,Nuts,Snacks,607,20.0,21.0,54.0,7.0,31.1,645,236,Lunch,362,560.7
2024-05-25,191,Cookies,Snacks,502,6.0,65.0,24.0,2.3,1.1,17,243,Breakfast,327,525.4
2024-05-19,970,Yogurt,Dairy,59,3.5,4.7,3.3,0.0,41.1,122,298,Dinner,859,363.1
2024-04-29,820,Chicken Breast,Meat,165,31.0,0.0,3.6,0.0,6.7,761,276,Dinner,539,363.4
2024-04-21,237,Bread,Grains,265,9.0,49.0,3.2,2.7,28.9,577,273,Dinner,891,845.5
2024-07-06,657,Nuts,Snacks,607,20.0,21.0,54.0,7.0,41.2,38,271,Dinner,468,440.80000000000007
2024-05-25,267,Coffee,Beverages,0,0.1,0.0,0.0,0.0,39.2,800,270,Lunch,841,162.8
2024-03-10,430,Rice,Grains,130,2.7,28.0,0.3,0.4,34.0,783,240,Snack,646,668.7
2024-09-30,942,Bread,Grains,265,9.0,49.0,3.2,2.7,10.8,817,114,Snack,927,825.8
2024-07-18,209,Milk,Dairy,42,3.4,4.8,1.0,0.0,33.0,468,37,Lunch,383,809.0
2024-01-24,35,Milk,Dairy,42,3.4,4.8,1.0,0.0,41.7,370,23,Dinner,589,562.9
2024-10-02,131,Carrot,Vegetables,41,0.9,10.0,0.2,2.8,10.5,373,300,Dinner,888,608.0
2024-03-05,313,Butter,Dairy,717,0.1,0.1,81.0,0.0,31.7,704,174,Dinner,667,341.4
2024-05-25,813,Strawberry,Fruits,32,0.7,8.0,0.3,2.0,14.7,835,152,Dinner,423,453.0
2024-05-28,564,Beef Steak,Meat,271,26.0,0.0,19.0,0.0,10.4,885,102,Snack,774,223.1
2024-02-14,650,Pork Chop,Meat,242,27.0,0.0,14.0,0.0,46.7,712,246,Dinner,775,339.5
2024-04-16,386,Beef Steak,Meat,271,26.0,0.0,19.0,0.0,22.9,907,109,Snack,275,159.8
2024-07-24,402,Bread,Grains,265,9.0,49.0,3.2,2.7,22.1,446,260,Breakfast,189,384.40000000000003
2024-04-26,975,Salmon,Meat,208,22.0,0.0,13.0,0.0,23.3,259,279,Dinner,694,719.0
2024-02-05,616,Cheese,Dairy,402,25.0,0.4,33.0,0.0,8.5,266,140,Breakfast,979,398.20000000000005
2024-01-28,663,Beef Steak,Meat,271,26.0,0.0,19.0,0.0,42.6,142,63,Dinner,831,797.6
2024-07-25,663,Potato,Vegetables,77,2.0,17.0,0.1,2.2,18.4,889,215,Lunch,273,398.29999999999995
2024-02-11,960,Salmon,Meat,208,22.0,0.0,13.0,0.0,43.7,108,179,Lunch,826,450.8
2024-05-27,865,Coffee,Beverages,0,0.1,0.0,0.0,0.0,5.8,196,189,Lunch,865,539.0
2024-03-31,589,Chocolate,Snacks,546,5.5,61.0,31.0,3.4,49.7,494,38,Lunch,751,955.8
2024-06-13,589,Carrot,Vegetables,41,0.9,10.0,0.2,2.8,25.4,17,93,Dinner,755,324.70000000000005
2024-04-04,51,Spinach,Vegetables,23,2.9,3.6,0.4,2.2,45.4,335,183,Breakfast,214,415.29999999999995
2024-03-19,851,Carrot,Vegetables,41,0.9,10.0,0.2,2.8,26.1,85,240,Lunch,567,718.4
2024-03-11,96,Potato,Vegetables,77,2.0,17.0,0.1,2.2,7.0,388,96,Snack,169,439.30000000000007
2024-02-29,298,Grapes,Fruits,69,0.7,18.0,0.2,0.9,27.0,595,292,Lunch,209,379.1
2024-06-13,807,Cheese,Dairy,402,25.0,0.4,33.0,0.0,43.6,12,53,Breakfast,247,276.7
2024-01-28,356,Broccoli,Vegetables,34,2.8,7.0,0.4,2.6,27.1,36,295,Snack,689,796.5999999999999
2024-05-12,624,Nuts,Snacks,607,20.0,21.0,54.0,7.0,35.3,672,230,Dinner,518,689.0
2024-04-05,399,Bread,Grains,265,9.0,49.0,3.2,2.7,21.7,93,49,Breakfast,288,667.9
2024-01-30,839,Water,Beverages,0,0.0,0.0,0.0,0.0,5.7,292,220,Dinner,193,774.0
2024-03-13,120,Chips,Snacks,536,7.0,53.0,35.0,4.4,41.3,810,4,Dinner,652,638.5999999999999
2024-04-01,614,Banana,Fruits,89,1.1,23.0,0.3,2.6,12.6,766,245,Dinner,996,502.6
2024-09-25,731,Chocolate,Snacks,546,5.5,61.0,31.0,3.4,32.7,589,280,Dinner,718,526.5
2024-04-29,213,Cheese,Dairy,402,25.0,0.4,33.0,0.0,14.5,783,215,Lunch,817,446.1
2024-01-17,488,Paneer,Dairy,265,18.0,1.2,20.0,0.0,18.0,896,198,Dinner,996,344.4
2024-12-03,942,Cheese,Dairy,402,25.0,0.4,33.0,0.0,8.6,341,249,Breakfast,931,435.5
2024-04-12,127,Green Tea,Beverages,0,0.0,0.0,0.0,0.0,25.7,656,229,Snack,350,294.9
2024-07-18,645,Chocolate,Snacks,546,5.5,61.0,31.0,3.4,37.1,646,43,Breakfast,405,869.6999999999999
2024-04-14,366,Broccoli,Vegetables,34,2.8,7.0,0.4,2.6,33.0,666,266,Snack,326,592.1
2024-09-03,119,Orange,Fruits,47,0.9,12.0,0.1,2.4,14.7,440,125,Snack,970,557.4000000000001
2024-08-20,219,Bread,Grains,265,9.0,49.0,3.2,2.7,1.1,676,246,Snack,454,315.4
2024-09-09,372,Potato,Vegetables,77,2.0,17.0,0.1,2.2,6.9,698,61,Dinner,605,510.79999999999995
2024-04-28,987,Chips,Snacks,536,7.0,53.0,35.0,4.4,10.0,768,275,Breakfast,428,348.29999999999995
2024-09-29,296,Apple,Fruits,52,0.3,14.0,0.2,2.4,26.0,745,264,Lunch,159,351.09999999999997
2024-05-26,47,Rice,Grains,130,2.7,28.0,0.3,0.4,26.9,592,250,Snack,334,659.5
2024-03-13,849,Broccoli,Vegetables,34,2.8,7.0,0.4,2.6,41.8,187,104,Snack,211,417.20000000000005
2024-08-31,290,Pasta,Grains,131,5.0,25.0,0.5,1.2,33.4,980,243,Lunch,277,376.3
2024-10-28,809,Broccoli,Vegetables,34,2.8,7.0,0.4,2.6,44.3,328,161,Dinner,265,407.79999999999995
2024-03-18,479,Bread,Grains,265,9.0,49.0,3.2,2.7,36.2,321,31,Lunch,308,749.0999999999999
2024-07-18,184,Grapes,Fruits,69,0.7,18.0,0.2,0.9,11.4,10,130,Lunch,861,151.8
2024-10-14,903,Bread,Grains,265,9.0,49.0,3.2,2.7,29.8,164,212,Dinner,387,513.7
2024-09-02,517,Grapes,Fruits,69,0.7,18.0,0.2,0.9,36.9,459,247,Snack,671,624.0
2024-10-22,265,Cheese,Dairy,402,25.0,0.4,33.0,0.0,8.7,41,55,Dinner,633,666.5999999999999
2024-02-15,472,Butter,Dairy,717,0.1,0.1,81.0,0.0,15.2,540,117,Snack,789,663.6
2024-07-06,639,Banana,Fruits,89,1.1,23.0,0.3,2.6,35.5,318,93,Lunch,364,695.0
2024-05-02,947,Orange,Fruits,47,0.9,12.0,0.1,2.4,40.1,905,36,Snack,261,510.20000000000005
2024-03-11,948,Milkshake,Beverages,112,3.4,18.0,3.0,0.0,27.0,46,292,Lunch,444,580.3
2024-09-14,14,Water,Beverages,0,0.0,0.0,0.0,0.0,44.6,602,159,Lunch,228,643.6
2024-07-24,733,Apple,Fruits,52,0.3,14.0,0.2,2.4,27.6,613,127,Lunch,193,583.2
2024-12-07,993,Quinoa,Grains,120,4.4,21.0,1.9,2.8,34.5,42,120,Dinner,251,254.10000000000002
2024-08-10,710,Nuts,Snacks,607,20.0,21.0,54.0,7.0,4.1,70,165,Dinner,686,256.9
2024-10-08,608,Yogurt,Dairy,59,3.5,4.7,3.3,0.0,22.7,90,213,Dinner,353,202.2
2024-11-29,60,Yogurt,Dairy,59,3.5,4.7,3.3,0.0,45.5,509,198,Lunch,100,392.30000000000007
2024-11-28,594,Spinach,Vegetables,23,2.9,3.6,0.4,2.2,19.1,115,220,Snack,558,638.7
2024-09-11,593,Green Tea,Beverages,0,0.0,0.0,0.0,0.0,20.4,127,162,Breakfast,187,222.1
2024-01-03,678,Chocolate,Snacks,546,5.5,61.0,31.0,3.4,38.1,194,138,Breakfast,906,401.9
2024-02-16,975,Spinach,Vegetables,23,2.9,3.6,0.4,2.2,26.0,261,85,Lunch,538,377.5
2024-05-19,864,Salmon,Meat,208,22.0,0.0,13.0,0.0,8.8,916,64,Breakfast,269,442.9
2024-12-31,365,Popcorn,Snacks,375,12.0,74.0,4.3,14.0,22.2,263,125,Lunch,829,411.40000000000003
2024-10-16,416,Milkshake,Beverages,112,3.4,18.0,3.0,0.0,40.8,607,171,Snack,182,521.4
2024-09-24,484,Banana,Fruits,89,1.1,23.0,0.3,2.6,47.1,703,98,Lunch,811,409.5
2024-02-07,303,Eggs,Meat,143,13.0,0.7,10.0,0.0,1.0,26,255,Lunch,629,341.3
2024-06-03,146,Eggs,Meat,143,13.0,0.7,10.0,0.0,19.8,722,275,Snack,219,662.7
2024-07-28,424,Chocolate,Snacks,546,5.5,61.0,31.0,3.4,20.2,734,1,Lunch,144,774.0
2024-02-28,157,Milkshake,Beverages,112,3.4,18.0,3.0,0.0,8.4,6,222,Breakfast,721,782.0
2024-07-13,565,Carrot,Vegetables,41,0.9,10.0,0.2,2.8,6.5,53,98,Snack,839,421.5
2024-09-25,191,Chocolate,Snacks,546,5.5,61.0,31.0,3.4,21.5,134,288,Snack,186,233.60000000000002
2024-03-02,641,Oats,Grains,389,17.0,66.0,7.0,10.0,30.5,665,7,Snack,848,740.4
2024-01-14,451,Milkshake,Beverages,112,3.4,18.0,3.0,0.0,2.2,648,159,Dinner,899,434.8
2024-11-30,780,Spinach,Vegetables,23,2.9,3.6,0.4,2.2,21.8,937,44,Dinner,528,299.3
2024-09-03,235,Salmon,Meat,208,22.0,0.0,13.0,0.0,44.0,49,32,Breakfast,246,768.2
2024-12-12,758,Nuts,Snacks,607,20.0,21.0,54.0,7.0,44.0,957,280,Dinner,802,558.3
2024-12-24,288,Banana,Fruits,89,1.1,23.0,0.3,2.6,24.2,183,137,Breakfast,421,601.0
2024-11-01,804,Water,Beverages,0,0.0,0.0,0.0,0.0,9.2,10,57,Breakfast,888,164.0
2024-11-21,215,Apple,Fruits,52,0.3,14.0,0.2,2.4,46.6,270,36,Dinner,671,548.5
2024-05-20,665,Tomato,Vegetables,18,0.9,3.9,0.2,1.2,2.5,966,282,Breakfast,894,284.6
2024-10-30,38,Grapes,Fruits,69,0.7,18.0,0.2,0.9,25.1,206,48,Dinner,233,503.0
2024-01-07,111,Cookies,Snacks,502,6.0,65.0,24.0,2.3,47.2,304,163,Breakfast,132,457.7
2024-05-05,92,Chocolate,Snacks,546,5.5,61.0,31.0,3.4,41.3,250,121,Breakfast,875,600.9000000000001
2024-07-25,811,Water,Beverages,0,0.0,0.0,0.0,0.0,5.6,502,154,Breakfast,880,655.9000000000001
2024-08-18,472,Eggs,Meat,143,13.0,0.7,10.0,0.0,22.0,173,234,Breakfast,901,364.3
2024-05-14,157,Cookies,Snacks,542,16.6,42.3,28.8,2.2,28.3,700,99,Snack,768,494.79999999999995
2024-10-24,446,Carrot,Vegetables,41,0.9,10.0,0.2,2.8,3.2,829,190,Lunch,291,455.0
2024-05-23,178,Butter,Dairy,717,0.1,0.1,81.0,0.0,12.5,399,286,Breakfast,804,402.29999999999995
2024-03-07,993,Orange Juice,Beverages,45,0.7,10.0,0.2,0.2,22.0,372,22,Dinner,672,667.6
2024-02-08,429,Potato,Vegetables,77,2.0,17.0,0.1,2.2,18.4,76,266,Breakfast,669,864.5999999999999
2024-12-08,78,Pork Chop,Meat,242,27.0,0.0,14.0,0.0,27.9,836,134,Snack,203,861.4
2024-09-16,813,Chocolate,Snacks,546,5.5,61.0,31.0,3.4,1.7,535,269,Lunch,300,356.20000000000005
2024-07-16,795,Spinach,Vegetables,23,2.9,3.6,0.4,2.2,17.7,70,126,Snack,189,700.6
2024-01-26,194,Coffee,Beverages,0,0.1,0.0,0.0,0.0,28.2,367,261,Dinner,388,698.7
2024-01-27,885,Beef Steak,Meat,271,26.0,0.0,19.0,0.0,21.0,645,40,Lunch,610,448.69999999999993
2024-06-07,3,Paneer,Dairy,265,18.0,1.2,20.0,0.0,21.6,334,41,Dinner,297,641.4000000000001
2024-05-03,780,Milk,Dairy,42,3.4,4.8,1.0,0.0,24.0,50,202,Lunch,323,727.4000000000001
2024-06-11,65,Salmon,Meat,208,22.0,0.0,13.0,0.0,20.9,511,157,Dinner,393,508.6
2024-06-05,849,Rice,Grains,130,2.7,28.0,0.3,0.4,41.5,668,170,Snack,570,647.8
2024-03-27,499,Paneer,Dairy,265,18.0,1.2,20.0,0.0,1.7,993,121,Breakfast,567,286.5
2024-08-07,715,Strawberry,Fruits,32,0.7,8.0,0.3,2.0,14.9,576,290,Lunch,489,522.9000000000001
2024-09-08,645,Salmon,Meat,208,22.0,0.0,13.0,0.0,38.6,60,239,Snack,913,399.7
2024-03-14,191,Grapes,Fruits,69,0.7,18.0,0.2,0.9,40.3,977,177,Breakfast,603,412.2
2024-08-06,490,Apple,Fruits,52,0.3,14.0,0.2,2.4,2.9,870,80,Breakfast,958,865.0
2024-10-10,949,Cookies,Snacks,502,6.0,65.0,24.0,2.3,0.9,822,85,Breakfast,806,433.4
2024-05-20,542,Milkshake,Beverages,112,3.4,18.0,3.0,0.0,32.3,69,1,Lunch,192,659.8
2024-02-17,222,Milkshake,Beverages,112,3.4,18.0,3.0,0.0,17.4,601,189,Snack,570,897.3
2024-12-23,460,Popcorn,Snacks,375,12.0,74.0,4.3,14.0,28.8,275,242,Dinner,617,601.5
2024-12-21,602,Banana,Fruits,89,1.1,23.0,0.3,2.6,9.0,319,283,Lunch,971,580.9
2024-03-05,442,Carrot,Vegetables,41,0.9,10.0,0.2,2.8,0.6,539,59,Dinner,317,416.20000000000005
2024-07-21,336,Cookies,Snacks,502,6.0,65.0,24.0,2.3,44.0,752,286,Breakfast,250,886.0
2024-03-22,335,Orange Juice,Beverages,45,0.7,10.0,0.2,0.2,15.6,758,177,Dinner,449,497.8
2024-04-06,998,Orange,Fruits,47,0.9,12.0,0.1,2.4,27.8,192,69,Breakfast,560,381.1
2024-05-06,244,Green Tea,Beverages,0,0.0,0.0,0.0,0.0,49.4,505,191,Dinner,742,532.8
2024-11-21,253,Apple,Fruits,52,0.3,14.0,0.2,2.4,29.9,498,246,Snack,612,577.3
2024-01-19,431,Potato,Vegetables,77,2.0,17.0,0.1,2.2,15.7,108,35,Dinner,360,673.6
2024-04-28,496,Pork Chop,Meat,242,27.0,0.0,14.0,0.0,25.6,108,174,Breakfast,615,260.2
2024-01-29,695,Popcorn,Snacks,375,12.0,74.0,4.3,14.0,7.6,620,85,Breakfast,746,703.8
2024-01-13,775,Orange,Fruits,47,0.9,12.0,0.1,2.4,18.7,97,120,Dinner,557,704.5999999999999
2024-09-05,140,Chocolate,Snacks,546,5.5,61.0,31.0,3.4,18.3,517,260,Lunch,548,251.3
2024-10-28,42,Broccoli,Vegetables,34,2.8,7.0,0.4,2.6,26.5,987,170,Snack,263,505.4
2024-11-19,469,Milk,Dairy,42,3.4,4.8,1.0,0.0,36.3,661,110,Breakfast,925,428.3
2024-05-27,723,Chicken Breast,Meat,165,31.0,0.0,3.6,0.0,14.6,110,4,Lunch,874,417.1
2024-03-16,593,Yogurt,Dairy,59,3.5,4.7,3.3,0.0,16.6,331,100,Snack,515,489.20000000000005
2024-04-17,469,Nuts,Snacks,607,20.0,21.0,54.0,7.0,49.5,559,185,Snack,835,396.3
2024-12-26,328,Cookies,Snacks,502,6.0,65.0,24.0,2.3,20.7,608,239,Dinner,971,483.4
2024-07-26,913,Carrot,Vegetables,41,0.9,10.0,0.2,2.8,45.3,871,56,Lunch,688,445.59999999999997
2024-12-07,191,Coffee,Beverages,0,0.1,0.0,0.0,0.0,20.3,922,222,Dinner,825,713.9000000000001
2024-09-30,318,Chips,Snacks,536,7.0,53.0,35.0,4.4,47.9,257,278,Snack,308,694.3000000000001
2024-06-05,448,Butter,Dairy,717,0.1,0.1,81.0,0.0,49.9,178,239,Snack,172,628.2
2024-09-10,321,Quinoa,Grains,120,4.4,21.0,1.9,2.8,13.3,447,32,Snack,350,758.0
2024-12-30,252,Chocolate,Snacks,546,5.5,61.0,31.0,3.4,19.3,0,221,Lunch,399,658.3
2024-03-04,150,Orange Juice,Beverages,45,0.7,10.0,0.2,0.2,26.4,782,16,Dinner,655,690.0999999999999
2024-06-16,126,Chicken Breast,Meat,165,31.0,0.0,3.6,0.0,38.4,743,260,Breakfast,618,472.5
